title,bpm,genres,artists
Sad Girls (feat. Rema),115.0,"pop, uk funky, nigerian pop, uk dance, chill drill, melodic drill, uk hip hop, afrobeats","Clean Bandit, French The Kid, Rema"
Kammy (like i do),132.0,"stutter house, house, edm",Fred again..
The Vibe (feat. FUEG),121.0,,"Fresh Mode, FUEG"
Bruh...,106.0,"comedy rap, indie pop rap, pop rap",Lil Dicky
Valley Of Peace,118.0,,TEYMORI
Electric (Electric Mantis Remix),122.0,"r&b, future bass, pop, pop r&b, vapor twitch, etherpop","Alina Baraz, Khalid, Electric Mantis"
Lonely At The Top,105.0,"afrobeats, nigerian pop",Asake
MURDA,112.0,"indie r&b, indie soul, alternative r&b",BLK ODYSSY
Why Why Why Why Why,114.76,"indie soul, pop soul",SAULT
Baxter (these are my friends),121.0,"electrofox, edm, house, stutter house, chamber psych","Fred again.., Baxter Dury"
Sunset Sessions,120.0,"saxophone house, chill house, tropical house",Tobÿ
Other Boys,120.0,"progressive electro house, pop, brostep, edm","Marshmello, Dove Cameron"
Numb & Getting Colder (feat. Kučka),116.0,"downtempo, australian electropop, edm, indietronica, electra, australian dance, australian indie",Flume
Change of Heart,118.0,,"SOMMA, Paul Schulze, Louise Harris"
I Like The Way,118.0,"alternative r&b, uk contemporary r&b","Moon Willis, Etta Bond"
Cascade,118.0,"chill house, tropical house",Adon
Feel My Needs - Purple Disco Machine Remix,122.0,"uk house, house, tech house, deep house, uk dance","WEISS, Purple Disco Machine"
Cocu,120.0,afro house,Tayllor
All My Life,90.0,"indietronica, chillwave, edm",ODESZA
Colder (feat. Cappa),120.0,"edm, electro house, house, uk dance, pop dance, pop edm, indie poptimism","SNBRN, Cappa"
letstalkaboutit - Instrumental,112.0,"escape room, rap, underground hip hop, pop rap, alternative r&b, indie soul, lgbtq+ hip hop, portland hip hop","KAYTRAMINÉ, Aminé, KAYTRANADA"
Heaven,116.0,"pop dance, uk dance",James Carter
Lover/Friend,105.0,"alternative r&b, escape room, indie soul, lgbtq+ hip hop","KAYTRANADA, Rochelle Jordan"
DEVOTION,118.0,australian dance,Mild Minds
Emotional Killer,91.5,dfw rap,Lil Loaded
Roll (Burbank Funk),112.5,"alternative r&b, lgbtq+ hip hop",The Internet
All In Paradise,120.0,"chill house, tropical house","Avi Snow, LVAN, BIMINI"
Silence & Secrets - Black Coffee Remix,118.0,"experimental pop, alternative dance, danish indie, south african pop dance, dance-punk, electronica, south african house, south african pop","WhoMadeWho, Black Coffee"
Walking On a Dream,112.0,"tropical house, scandipop",NEIMY
ISOU,101.0,electropop,SHAED
You,100.0,vapor soul,Lastlings
Medusa,116.0,"afrobeats, nigerian pop","Oluwadamilola, Asake"
Crimson,125.0,,Ghostly Kisses
Tell Me When,113.0,"tropical house, chill house","MNTN RVR, Jane Good, Lisa Rowe"
You Look Like (Sex) - Fabich's Pooltime Remix,120.0,"deep tropical house, uk house, pop edm","Lulleaux, Fabich"
Riptide,114.0,tropical house,TWOPILOTS
Selfish Soul - ODESZA Remix,107.0,"chillwave, la pop, experimental r&b, afrofuturism, indie soul, alternative r&b, edm, indietronica","Sudan Archives, ODESZA"
Yawa,115.0,"nigerian pop, afrobeats","Asake, Ojahbee"
Without You,115.0,,MALOYA
Falling In Love,116.0,chill house,Planetopia
Ray Of Solar,135.0,"pop dance, edm, progressive electro house",Swedish House Mafia
Juice,112.0,"deep underground hip hop, indie pop rap, underground hip hop, aussietronica","Young Franco, Pell"
Coming Your Way (with Anne-Marie & Becky G),108.0,"pop, trap latino, latin pop, rap latina, urbano latino, reggaeton, latin viral pop, raboday","Michaël Brun, Anne-Marie, Becky G"
Love Doesn't Go My Way,115.0,new french touch,"MUNICH MONSTRS, Harry Cho"
Nothing Compares,118.0,chill house,"Mark F. Angelo, Thomas Sykes"
count on,116.0,"indie electropop, electropop","Shallou, Colin"
Through the Fire,120.0,austrian pop,"PALASTIC, Sam Welch"
Attention - Bingo Players Remix,120.0,"melbourne bounce, viral pop, pop, electro house, progressive house, edm, big room, progressive electro house, pop dance, dutch house","Charlie Puth, Bingo Players"
Sunshine,115.0,"afrobeats, nigerian pop",Asake
I'm Her,120.0,singer-songwriter pop,Natalie Jane
Every Step,122.0,"electro house, pop dance, uk dance, house",D.O.D
Visionaries (Remix),100.0,future bass,"INZO, yitaku, NoVet"
Dreamcatcher,110.0,"future bass, vapor twitch","Robotaki, Miko"
You & Me - Rivo Remix,122.0,"edm, house, indietronica, lilith, electropop, uk dance","Disclosure, Eliza Doolittle, Rivo"
Up Here,120.0,melodic house,"djimboh, Lumynesynth"
Yallah Habibi - DJ Antoine vs Mad Mark Hands Up Mix,118.0,"pop dance, german hip hop, pop rap, dance pop, tropical house","DJ Antoine, Sido, Moe Phoenix, Mad Mark"
Feel,120.0,"uk dance, melodic house",TWO LANES
There For You,112.0,"deep house, deep tropical house, new french touch, tropical house",Y.V.E. 48
So Easy to Love You,112.0,chill house,AINT
Rodo,115.0,"nigerian hip hop, afropop, afrobeats, azontobeats, alte, nigerian pop",Adekunle Gold
Beneath The Clouds,130.0,,Ghostly Kisses
Intimidated (feat. H.E.R.),112.0,"escape room, indie soul, lgbtq+ hip hop, r&b, rap, alternative r&b","KAYTRANADA, H.E.R."
Learn 2 Love,120.0,"pop dance, brostep, big room, dutch edm, trance, edm, house, slap house",Tiësto
Stomp,90.0,"vapor twitch, electronic trap, traprun, future bass","KRANE, Dabow"
Saola (ODESZA Remix),120.0,"edm, chillwave, indietronica","Beat Connection, ODESZA"
Homies (feat. Henry Wu),120.0,"edm, broken beat, stutter house, indie jazz, british jazz, house","Fred again.., Henry Wu"
Broken,110.0,new french touch,Guille Alvarez
Moon Funk,115.0,"electro house, pop edm, gaming edm",ellis
Yasminah (see your face again),118.14,"house, stutter house, edm",Fred again..
The Sign (with CamelPhat),122.0,"house, stutter house, progressive house, uk dance, deep tech house","Anyma, CamelPhat"
Jacaré,125.0,edm,Sofi Tukker
Mine,117.0,"brisbane indie, australian indie, australian indie rock, vapor soul","BAYNK, Cub Sport"
Milkshake 20 (Alex Wann Remix),118.0,"urban contemporary, dance pop, hip pop, neo soul","Kelis, Alex Wann"
Baby Girl,121.0,stutter house,Disco Lines
Feelings,118.0,"new french touch, tropical house",Mellowdy
